sentence_type,keys,condition,accuracy
SC_OR_V1, number_1_number_2_number_3, SSS, 1.00
SC_OR_V1, number_1_number_2_number_3, SSP, 1.00
SC_OR_V1, number_1_number_2_number_3, SPS, 0.86
SC_OR_V1, number_1_number_2_number_3, SPP, 0.82
SC_OR_V1, number_1_number_2_number_3, PSS, 0.25
SC_OR_V1, number_1_number_2_number_3, PSP, 0.49
SC_OR_V1, number_1_number_2_number_3, PPS, 0.76
SC_OR_V1, number_1_number_2_number_3, PPP, 0.75
SC_OR_V2, number_1_number_2_number_3, SSS, 0.74
SC_OR_V2, number_1_number_2_number_3, SSP, 0.66
SC_OR_V2, number_1_number_2_number_3, SPS, 0.61
SC_OR_V2, number_1_number_2_number_3, SPP, 0.55
SC_OR_V2, number_1_number_2_number_3, PSS, 0.56
SC_OR_V2, number_1_number_2_number_3, PSP, 0.35
SC_OR_V2, number_1_number_2_number_3, PPS, 0.71
SC_OR_V2, number_1_number_2_number_3, PPP, 0.74
SC_OR_V3, number_1_number_2_number_3, SSS, 1.00
SC_OR_V3, number_1_number_2_number_3, SSP, 0.96
SC_OR_V3, number_1_number_2_number_3, SPS, 0.70
SC_OR_V3, number_1_number_2_number_3, SPP, 0.98
SC_OR_V3, number_1_number_2_number_3, PSS, 0.93
SC_OR_V3, number_1_number_2_number_3, PSP, 0.95
SC_OR_V3, number_1_number_2_number_3, PPS, 0.65
SC_OR_V3, number_1_number_2_number_3, PPP, 0.99
OR_OR_V1, number_1_number_2_number_3, SSS, 0.66
OR_OR_V1, number_1_number_2_number_3, SSP, 0.51
OR_OR_V1, number_1_number_2_number_3, SPS, 0.67
OR_OR_V1, number_1_number_2_number_3, SPP, 0.63
OR_OR_V1, number_1_number_2_number_3, PSS, 0.70
OR_OR_V1, number_1_number_2_number_3, PSP, 0.77
OR_OR_V1, number_1_number_2_number_3, PPS, 0.59
OR_OR_V1, number_1_number_2_number_3, PPP, 0.62
OR_OR_V2, number_1_number_2_number_3, SSS, 0.72
OR_OR_V2, number_1_number_2_number_3, SSP, 0.61
OR_OR_V2, number_1_number_2_number_3, SPS, 0.45
OR_OR_V2, number_1_number_2_number_3, SPP, 0.48
OR_OR_V2, number_1_number_2_number_3, PSS, 0.39
OR_OR_V2, number_1_number_2_number_3, PSP, 0.30
OR_OR_V2, number_1_number_2_number_3, PPS, 0.73
OR_OR_V2, number_1_number_2_number_3, PPP, 0.74
OR_OR_V3, number_1_number_2_number_3, SSS, 0.99
OR_OR_V3, number_1_number_2_number_3, SSP, 0.96
OR_OR_V3, number_1_number_2_number_3, SPS, 0.87
OR_OR_V3, number_1_number_2_number_3, SPP, 0.97
OR_OR_V3, number_1_number_2_number_3, PSS, 0.93
OR_OR_V3, number_1_number_2_number_3, PSP, 0.96
OR_OR_V3, number_1_number_2_number_3, PPS, 0.75
OR_OR_V3, number_1_number_2_number_3, PPP, 0.98
